Timestamp,Name,Email address,"Which events do you plan to attend on Sunday, July 30?","Which events do you plan to attend on Monday, July 31? (not including lightning talks, unconference sessions, and hackathons that will continue or start on 2nd day)","Which events do you plan to attend on Tuesday, August 1st?"
7/14/2017 11:54:46,Bernadine Ratke,ad@xosz.tdi,"Workshop: Data Sharing -- Part 1: IRB, Part 2: Curating data (3:30-6p), Hack: Forming a new journal (all day), Hack: Action campaign for all psych journals to adopt transparency policies (all day)",All Conference Social Event (Dinner+drinks; 7:30p-??),Everything else will be scheduled during the conference depending on what has legs and group interest
7/14/2017 10:13:10,Juliane Kling,jbacqmnoug@qcsrv.hut,"[Saturday, July 29th, 7p] Dinner/drinks party at Brian Nosek's home (bus transportation to/from Omni hotel all evening), Workshop: Using OSF (1:30-3:30p), Hack: Syllabus for Research Methods (all day), Hack: Forming a new journal (all day)",All Conference Social Event (Dinner+drinks; 7:30p-??),Everything else will be scheduled during the conference depending on what has legs and group interest
7/14/2017 10:14:02,Argelia DuBuque,sbinxjw@bprhc.ybo,"[Saturday, July 29th, 7p] Dinner/drinks party at Brian Nosek's home (bus transportation to/from Omni hotel all evening), Hack: Syllabus for Research Methods (all day), I am flexible; if there is a hackathon that needs help, let me know.",All Conference Social Event (Dinner+drinks; 7:30p-??),Everything else will be scheduled during the conference depending on what has legs and group interest
7/14/2017 10:16:39,Williams Mueller,xrugcmajh@qbaetkvwmj.kwe,"[Saturday, July 29th, 7p] Dinner/drinks party at Brian Nosek's home (bus transportation to/from Omni hotel all evening), Workshop: Fundamentals of meta-analysis (9:30a-12:30p), Workshop: Writing papers to be transparent, reproducible, and fabulous (3:30-5:30p), Hack: Syllabus for Research Methods (all day), I am flexible; if there is a hackathon that needs help, let me know.",All Conference Social Event (Dinner+drinks; 7:30p-??),Everything else will be scheduled during the conference depending on what has legs and group interest
7/14/2017 11:17:02,Davida Ledner,iokv@vl.dyt,"Workshop: How to Promote Transparency and Replicability as a Reviewer (1:30-3:30p), Workshop: Writing papers to be transparent, reproducible, and fabulous (3:30-5:30p)",All Conference Social Event (Dinner+drinks; 7:30p-??),Everything else will be scheduled during the conference depending on what has legs and group interest
7/16/2017 3:07:14,Ethan Klocko,kl@jbn.vmb,"[Saturday, July 29th, 7p] Dinner/drinks party at Brian Nosek's home (bus transportation to/from Omni hotel all evening), Hack: Syllabus for Research Methods (all day)",All Conference Social Event (Dinner+drinks; 7:30p-??),Everything else will be scheduled during the conference depending on what has legs and group interest
7/17/2017 2:25:47,Freeman Block,nov@vsrp.ayb,Hack: Syllabus for Research Methods (all day),All Conference Social Event (Dinner+drinks; 7:30p-??),Everything else will be scheduled during the conference depending on what has legs and group interest
7/17/2017 5:26:59,Audrey Quigley,klrpaqo@kptsf.okl,"[Saturday, July 29th, 7p] Dinner/drinks party at Brian Nosek's home (bus transportation to/from Omni hotel all evening), Hack: Action campaign for all psych journals to adopt transparency policies (all day), I am flexible; if there is a hackathon that needs help, let me know.",All Conference Social Event (Dinner+drinks; 7:30p-??),Everything else will be scheduled during the conference depending on what has legs and group interest
7/18/2017 16:29:21,Bryon Walter,yx@epwkcmyos.inu,"[Saturday, July 29th, 7p] Dinner/drinks party at Brian Nosek's home (bus transportation to/from Omni hotel all evening), Hack: Syllabus for Research Methods (all day), Hack: Resources for changing culture in department, university, society (all day)",All Conference Social Event (Dinner+drinks; 7:30p-??),Everything else will be scheduled during the conference depending on what has legs and group interest
7/14/2017 10:19:34,Cleopatra Mante,mzryhdxgij@kvjaemfygn.jmc,"[Saturday, July 29th, 7p] Dinner/drinks party at Brian Nosek's home (bus transportation to/from Omni hotel all evening), Workshop: How to Promote Transparency and Replicability as a Reviewer (1:30-3:30p), Hack: Forming a new journal (all day), I am flexible; if there is a hackathon that needs help, let me know.","Re-hack: Diversity and inclusion (morning), All Conference Social Event (Dinner+drinks; 7:30p-??)",Everything else will be scheduled during the conference depending on what has legs and group interest
